ID;token;entity_type
6524;رواندا;O
6525;واوغندا;O
6526;موقع;O
6527;تراث;O
6528;عالمي;O
6529;محمي;O
6530;اليونسكو;O
6531;باعتبارها;O
6532;اقدم;O
6533;حديقه;O
6534;وطنيه;O
6535;البلاد;O
6536;ستجد;O
6537;سهول;B-LF
6538;الحمم;B-LF
6539;والسافانا;O
6540;والغابات;B-LF
6541;والوديان;B-LF
6542;والبراكين;B-LF
6543;النشطه;I-LF
6544;والمستنقعات;O
6545;وحتي;O
6546;القمم;O
6547;الجليديه;O
6548;جبال;B-LF
6549;روينزوري;I-LF
6550;يمكنك;O
6551;اكتشاف;B-AC
6552;افراس;I-AC
6553;النهر;I-AC
6554;والاسود;I-AC
6555;والفيله;I-AC
6556;وعدد;O
6557;الطيور;O
6558;النادره;O
6559;والغريبه;O
6560;تعتبر;O
6561;بحيره;B-LF
6562;العسل;I-LF
6563;اشهر;O
6564;الاماكن;O
6565;الطبيعيه;O
6566;جمهوريه;O
6567;جيبوتي;B-LOC
6568;عباره;O
6569;بحيره;O
6570;موجوده;O
6571;فوهه;O
6572;بركان;B-LF
6573;وتقع;O
6574;الطرف;O
6575;الغربي;O
6576;لخليج;B-LF
6577;تاجوره;I-LF
6578;ويبلغ;O
6579;ارتفاع;O
6580;الخليج;B-LOC
6581;حوالي;O
6582;155;O
6583;متر;O
6584;مستوي;O
6585;سطح;O
6586;البحر;O
6587;يجعله;O
6588;ثاني;O
6589;ادني;O
6590;منخفض;O
6591;بري;O
6592;وجه;O
6593;الارض;O
6594;البحر;O
6595;الميت;I-LOC
6596;المعروف;O
6597;بحيره;B-LF
6598;عسل;O
6599;اكبر;O
6600;محميه;O
6601;للملح;O
6602;ويعتبرها;O
6603;السكان;O
6604;المحليون;O
6605;كنزا;O
6606;وطنيا;O
6607;انها;O
6608;طريقها;O
6609;لان;O
6610;تصبح;O
6611;احد;O
6612;مواقع;O
6613;التراث;O
6614;العالمي;O
6615;لمنظمه;O
6616;اليونسكو;O
6617;وتتميز;O
6618;بجمال;O
6619;المناظر;O
6620;الطبيعيه;O
6621;المحيطه;O
6622;تعتبر;O
6623;بحيره;B-LF
6624;العسل;I-LF
6625;اشهر;O
6626;الاماكن;O
6627;الطبيعيه;O
6628;جمهوريه;O
6629;جيبوتي;B-LOC
6630;عباره;O
6631;بحيره;O
6632;موجوده;O
6633;فوهه;O
6634;بركان;O
6635;وتقع;O
6636;الطرف;O
6637;الغربي;O
6638;لخليج;B-LF
6639;تاجوره;I-LF
6640;ويبلغ;O
6641;ارتفاع;O
6642;الخليج;B-LOC
6643;حوالي;O
6644;155;O
6645;متر;O
6646;مستوي;O
6647;سطح;O
6648;البحر;B-LF
6649;يجعله;O
6650;ثاني;O
6651;ادني;O
6652;منخفض;O
6653;بري;O
6654;وجه;O
6655;الارض;O
6656;البحر;B-LF
6657;الميت;I-LF
6658;المعروف;O
6659;بحيره;B-LF
6660;عسل;I-LF
6661;اكبر;O
6662;محميه;O
6663;للملح;O
6664;ويعتبرها;O
6665;السكان;O
6666;المحليون;O
6667;كنزا;O
6668;وطنيا;O
6669;انها;O
6670;طريقها;O
6671;لان;O
6672;تصبح;O
6673;احد;O
6674;مواقع;O
6675;التراث;O
6676;العالمي;O
6677;لمنظمه;O
6678;اليونسكو;O
6679;وتتميز;O
6680;بجمال;O
6681;المناظر;O
6682;الطبيعيه;O
6683;المحيطه;O
6684;تعتبر;O
6685;بحيره;B-LF
6686;العسل;I-LF
6687;اشهر;O
6688;الاماكن;O
6689;الطبيعيه;O
6690;جمهوريه;O
6691;جيبوتي;B-LOC
6692;عباره;O
6693;بحيره;B-LF
6694;موجوده;O
6695;فوهه;O
6696;بركان;O
6697;وتقع;O
6698;الطرف;O
6699;الغربي;O
6700;لخليج;B-LF
6701;تاجوره;I-LF
6702;ويبلغ;O
6703;ارتفاع;O
6704;الخليج;B-LOC
6705;حوالي;O
6706;155;O
6707;متر;O
6708;مستوي;O
6709;سطح;O
6710;البحر;O
6711;يجعله;O
6712;ثاني;O
6713;ادني;O
6714;منخفض;O
6715;بري;O
6716;وجه;O
6717;الارض;O
6718;البحر;B-LF
6719;الميت;I-LF
6720;المعروف;O
6721;بحيره;O
6722;عسل;O
6723;اكبر;O
6724;محميه;O
6725;للملح;O
6726;ويعتبرها;O
6727;السكان;O
6728;المحليون;O
6729;كنزا;O
6730;وطنيا;O
6731;انها;O
6732;طريقها;O
6733;لان;O
6734;تصبح;O
6735;احد;O
6736;مواقع;O
6737;التراث;O
6738;العالمي;O
6739;لمنظمه;O
6740;اليونسكو;O
6741;وتتميز;O
6742;بجمال;O
6743;المناظر;O
6744;الطبيعيه;O
6745;المحيطه;O
6746;تعتبر;O
6747;بحيره;B-LF
6748;العسل;I-LF
6749;اشهر;O
6750;الاماكن;O
6751;الطبيعيه;O
6752;جمهوريه;O
6753;جيبوتي;B-LOC
6754;عباره;O
6755;بحيره;O
6756;موجوده;O
6757;فوهه;O
6758;بركان;O
6759;وتقع;O
6760;الطرف;O
6761;الغربي;O
6762;لخليج;B-LF
6763;تاجوره;I-LF
6764;ويبلغ;O
6765;ارتفاع;O
6766;الخليج;B-LOC
6767;حوالي;O
6768;155;O
6769;متر;O
6770;مستوي;O
6771;سطح;O
6772;البحر;O
6773;يجعله;O
6774;ثاني;O
6775;ادني;O
6776;منخفض;O
6777;بري;O
6778;وجه;O
6779;الارض;O
6780;البحر;O
6781;الميت;I-LOC
6782;المعروف;O
6783;بحيره;B-LF
6784;عسل;I-LF
6785;اكبر;O
6786;محميه;O
6787;للملح;O
6788;ويعتبرها;O
6789;السكان;O
6790;المحليون;O
6791;كنزا;O
6792;وطنيا;O
6793;انها;O
6794;طريقها;O
6795;لان;O
6796;تصبح;O
6797;احد;O
6798;مواقع;O
6799;التراث;O
6800;العالمي;O
6801;لمنظمه;O
6802;اليونسكو;O
6803;وتتميز;O
6804;بجمال;O
6805;المناظر;O
6806;الطبيعيه;O
6807;المحيطه;O
6808;مدينه;O
6809;تاجوره;O
6810;واحده;O
6811;اقدم;O
6812;المدن;O
6813;الساحل;B-LF
6814;الشرقي;I-LF
6815;لقاره;O
6816;افريقيا;B-LOC
6817;تعود;O
6818;القرن;O
6819;الثاني;O
6820;عشر;O
6821;الاقل;O
6822;تاجوره;O
6823;يحكمها;O
6824;سلطان;O
6825;اروع;O
6826;الموانئ;O
6827;المخصصه;O
6828;للبضائع;O
6829;جيبوتي;B-LOC
6830;واثيوبيا;O
6831;بالاضافه;O
6832;للاسف;O
6833;متخصصه;O
6834;تجاره;O
6835;الرقيق;O
6836;وغالبا;O
6837;يطلق;O
6838;اسم;O
6839;المدينه;O
6840;البيضاء;O
6841;ويطلق;O
6842;الاسم;O
6843;بسبب;O
6844;وجود;O
6845;عدد;O
6846;كبير;O
6847;المنازل;O
6848;البيضاء;O
6849;تنتشر;O
6850;مكان;O
6851;المدينه;O
6852;انها;O
6853;المدن;O
6854;الرائعه;O
6855;تصلح;O
6856;للتنزه;O
6857;والمشي;O
6858;لمشاهده;O
6859;الكثير;O
6860;الاطلالات;O
6861;الرائعه;O
6862;الموجوده;O
6863;الواجهه;O
6864;البحريه;O
6865;وقت;O
6866;متاخر;O
6867;الظهر;O
6868;تجد;O
6869;جميع;O
6870;السكان;O
6871;المحلين;O
6872;يتنزهون;O
6873;الخارج;O
6874;تتواجد;O
6875;مدينه;O
6876;صبيح;O
6877;بالقرب;O
6878;حدود;O
6879;الصومال;B-LOC
6880;واثيوبيا;O
6881;وتحيط;O
6882;المدينه;O
6883;صحراء;O
6884;مذهله;O
6885;مختلف;O
6886;الجهات;O
6887;تجد;O
6888;داخل;O
6889;المدينه;O
6890;عدد;O
6891;كبير;O
6892;الاسواق;O
6893;الرائعه;O
6894;واكشاك;O
6895;الطعام;O
6896;والشوارع;O
6897;الضيقه;O
6898;انها;O
6899;منطقه;O
6900;ريفيه;O
6901;وعره;O
6902;تعتبر;O
6903;افضل;O
6904;المناطق;O
6905;السياحيه;O
6906;تقع;O
6907;غينيا;B-LOC
6908;غرب;O
6909;افريقيا;B-LOC
6910;ساحل;O
6911;المحيط;B-LF
6912;الاطلسي;I-LF
6913;تحدها;O
6914;غينيا;B-LOC
6915;بيساو;O
6916;الشمال;O
6917;الغربي;O
6918;والسنغال;O
6919;الشمال;O
6920;ومالي;O
6921;الشمال;O
6922;الشرقي;O
6923;وكوت;O
6924;ديفوار;I-LOC
6925;الجنوب;O
6926;الشرقي;O
6927;تحدها;O
6928;ليبيريا;O
6929;وسيراليون;B-LOC
6930;الجنوب;O
6931;والمحيط;B-LOC
6932;الاطلسي;O
6933;الغرب;O
6934;غينيا;B-LOC
6935;جزءا;O
6936;غرب;O
6937;افريقيا;B-LOC
6938;الفرنسيه;O
6939;حتي;O
6940;نالت;O
6941;استقلالها;O
6942;عام;O
6943;1958م;O
6944;وتمتلك;O
6945;حاليا;O
6946;جزءا;O
6947;كبيرا;O
6948;احتياطات;O
6949;العالم;O
6950;البوكسيت;O
6951;وكميات;O
6952;كبيره;O
6953;الحديد;O
6954;والذهب;O
6955;والماس;O
6956;فما;O
6957;زالت;O
6958;تعتمد;O
6959;زراعه;O
6960;الكفاف;O
6961;اقتصادها;O
6962;ينبع;O
6963;اكثر;O
6964;20;O
6965;نهرا;O
6966;غرب;O
6967;افريقيا;B-LOC
6968;غينيا;B-LOC
6969;انهار;B-LF
6970;باكوي;I-LF
6971;ونهر;B-LF
6972;السنغال;I-LF
6973;ونهر;B-LF
6974;غامبيا;I-LF
6975;غينيا;B-LOC
6976;بيساو;O
6977;مستعمره;O
6978;برتغاليه;O
6979;سابقه;O
6980;تحدها;O
6981;السنغال;B-LOC
6982;الشمال;O
6983;وغينيا;B-LOC
6984;الجنوب;O
6985;والشرق;B-LOC
6986;وحصلت;O
6987;استقلالها;O
6988;البرتغال;B-LOC
6989;عام;O
6990;1974م;O
6991;تعد;O
6992;مدينه;O
6993;بوباك;B-LOC
6994;اكبر;O
6995;مدينه;O
6996;ارخبيل;O
6997;بيجاغوس;O
6998;ويمكن;O
6999;للسياح;O
7000;القيام;B-AC
7001;برحلات;I-AC
7002;القوارب;I-AC
7003;الجزر;B-LF
7004;الاخري;O
7005;تضم;O
7006;جزر;B-LF
7007;بيجاغوس;I-LF
7008;حوالي;O
7009;20;O
7010;جزيره;O
7011;استوائيه;O
7012;مناطق;O
7013;تعشيش;O
7014;للسلاحف;O
7015;وموائل;O
7016;فرس;O
7017;النهر;O
7018;جزيره;B-LF
7019;اورانجو;I-LF
7020;يوجد;O
7021;نزل;O
7022;صيد;O
7023;مملوكه;O
7024;لفرنسا;B-LOC
7025;الجزر;O
7026;قع;O
7027;جمهوريه;O
7028;غامبيا;B-LOC
7029;غرب;O
7030;افريقيا;B-LOC
7031;ساحل;O
7032;المحيط;B-LF
7033;الاطلسي;I-LF
7034;وتحيط;O
7035;السنغال;B-LOC
7036;الشرق;B-LOC
7037;والشمال;O
7038;والجنوب;O
7039;يخترق;O
7040;البلاد;O
7041;نهر;B-LF
7042;غامبيا;I-LF
7043;يصب;O
7044;المحيط;B-LF
7045;الاطلسي;I-LF
7046;يحد;O
7047;البلاد;O
7048;الغرب;O
7049;جاء;O
7050;شكل;O
7051;خريطه;O
7052;غامبيا;B-LOC
7053;نتيجه;O
7054;التنازلات;O
7055;الاقليميه;O
7056;قدمتها;O
7057;بريطانيا;B-LOC
7058;العظمي;O
7059;وفرنسا;B-LOC
7060;خلال;O
7061;القرن;O
7062;التاسع;O
7063;عشر;O
7064;غامبيا;B-LOC
7065;جزءا;O
7066;كونفدراليه;O
7067;سينيغامبيا;O
7068;قصيره;O
7069;العمر;O
7070;لمده;O
7071;7;O
7072;سنوات;O
7073;تعد;O
7074;غامبيا;B-LOC
7075;اصغر;O
7076;دوله;O
7077;الجزر;O
7078;افريقيا;B-LOC
7079;انها;O
7080;واحده;O
7081;اكثر;O
7082;دول;O
7083;افريقيا;B-LOC
7084;كثافه;O
7085;سكانيه;O
7086;يعتمد;O
7087;الاقتصاد;O
7088;الغامبي;O
7089;بشكل;O
7090;كبير;O
7091;انتاج;O
7092;وتصدير;O
7093;الفول;O
7094;السوداني;O
7095;وتشتهر;O
7096;البلاد;O
7097;بالشواطئ;O
7098;طول;O
7099;ساحلها;O
7100;الاطلسي;O
7101;الصغير;O
7102;تعتبر;O
7103;مدينه;O
7104;بانجول;B-LOC
7105;العاصمه;O
7106;الاداريه;O
7107;لغامبيا;O
7108;وتقع;O
7109;مصب;O
7110;نهر;B-LF
7111;غامبيا;i-AC
7112;جزيره;O
7113;سانت;O
7114;ماري;O
7115;يعد;O
7116;نهر;B-LF
7117;غامبيا;i-AC
7118;احمل;O
7119;معالم;O
7120;السياحه;O
7121;غامبيا;B-LOC
7122;وذلك;O
7123;يحتضنه;O
7124;مناظر;O
7125;طبيعيه;O
7126;ساحره;O
7127;تخطف;O
7128;انظار;O
7129;الزوار;O
7130;فضلا;O
7131;امكانيه;O
7132;القيام;O
7133;باجمل;O
7134;الجولات;B-AC
7135;البحريه;I-AC
7136;متن;O
7137;القوارب;O
7138;والسفن;O
7139;ويمكن;O
7140;زياره;B-AC
7141;سوق;i-AC
7142;الامير;O
7143;البيرت;O
7144;يشتهر;O
7145;بالمصنوعات;O
7146;اليدويه;O
7147;والاقمشه;O
7148;والاقنعه;O
7149;الخشبيه;O
7150;تعد;O
7151;مدينه;O
7152;ليبرفيل;B-LOC
7153;عاصمه;O
7154;الغابون;B-LOC
7155;واجمل;O
7156;مدنها;O
7157;السياحيه;O
7158;اذ;O
7159;تتمتع;O
7160;باطلاله;O
7161;خلابه;O
7162;ساحل;O
7163;وسط;O
7164;افريقيا;B-LOC
7165;تشتمل;O
7166;معالمها;O
7167;السياحيه;O
7168;المتحف;O
7169;الوطني;O
7170;للفنون;O
7171;والحرف;O
7172;التقليديه;O
7173;يستعرض;O
7174;الاقنعه;O
7175;والتحف;O
7176;الخشبيه;O
7177;المنحوته;O
7178;تشتهر;O
7179;البلاد;O
7180;والقصر;O
7181;الرئاسي;O
7182;الضخم;O
7183;يعود;O
7184;تاريخه;O
7185;السبعينيات;O
7186;القرن;O
7187;المنصرم;O
7188;وسوق;O
7189;مونت;O
7190;بوا;O
7191;المفتوح;O
7192;لبيع;O
7193;جميع;O
7194;السلع;O
7195;المحليه;O
7196;وكنيسه;O
7197;القديس;O
7198;ميشيل;O
7199;باعمدتها;O
7200;الخشبيه;O
7201;الطويله;O
7202;النقوش;O
7203;الزخرفيه;O
7204;المنحوته;O
7205;ومشتل;O
7206;سيبانج;O
7207;بالعديد;O
7208;الاشجار;O
7209;الاصليه;O
7210;البلاد;O
7211;تعد;O
7212;مدينه;O
7213;بورت;B-LOC
7214;جنتيل;O
7215;الميناء;O
7216;الرئيسي;O
7217;للبلاد;O
7218;اجمل;O
7219;مدن;O
7220;السياحه;O
7221;الغابون;B-LOC
7222;اذ;O
7223;تشتمل;O
7224;معالمها;O
7225;كنيسه;O
7226;سانت;O
7227;لويس;O
7228;تم;O
7229;انشاؤها;O
7230;1927;O
7231;ومناره;O
7232;كيب;O
7233;لوبيز;O
7234;تعود;O
7235;القرن;O
7236;العشرين;O
7237;جنوب;O
7238;بورت;O
7239;جنتيل;O
7240;يشتهر;O
7241;نهر;B-LF
7242;الاوغوي;I-LF
7243;بالعديد;O
7244;انواع;O
7245;الاسماك;O
7246;تعد;O
7247;مدينه;O
7248;فرانسفيل;O
7249;احدي;O
7250;اكبر;O
7251;مدن;O
7252;الغابون;B-LOC
7253;تقع;O
7254;نهر;B-LF
7255;مباسا;I-LF
7256;يمنحها;O
7257;اطلاله;O
7258;متميزه;O
7259;فضلا;O
7260;معالمها;O
7261;الطبيعيه;O
7262;والاثريه;O
7263;كنيسه;O
7264;سانت;O
7265;هيلير;O
7266;بنيت;O
7267;عام;O
7268;1899;O
7269;تمثال;O
7270;كبير;O
7271;للرئيس;O
7272;عمر;O
7273;بونغو;O
7274;ومعهد;O
7275;رئيسي;O
7276;للبحوث;O
7277;الطبيه;O
7278;وملعب;O
7279;للغولف;O
7280;وشلالات;O
7281;بوبارا;O
7282;توفر;O
7283;الراحه;O
7284;والاستجمام;O
7285;للسياح;O
7286;مدينه;O
7287;اكرا;O
7288;عاصمه;O
7289;الدوله;O
7290;واكثر;O
7291;مدنها;O
7292;اكتظاظا;O
7293;بالسكان;O
7294;تتميز;O
7295;بشواطئها;O
7296;الخلابه;O
7297;وبناياتها;O
7298;التاريخيه;O
7299;والاثريه;O
7300;والمكتبات;O
7301;والعديد;O
7302;المتاحف;O
7303;التاريخيه;O
7304;بالاضافه;O
7305;للاسواق;O
7306;التقليديه;O
7307;والمعارض;O
7308;الفنيه;O
7309;القلاع;O
7310;القديمه;O
7311;ترجع;O
7312;للقرن;O
7313;السابع;O
7314;عشر;O
7315;ميلادي;O
7316;وكثره;O
7317;الحدائق;O
7318;مدينه;O
7319;كوماسي;B-LOC
7320;المدن;O
7321;تقع;O
7322;الجهه;O
7323;الجنوبيه;O
7324;الوسطي;O
7325;للدوله;O
7326;تبعد;O
7327;العاصمه;O
7328;قرابه;O
7329;(;O
7330;250;O
7331;);O
7332;كيلو;O
7333;مترا;O
7334;تتميز;O
7335;المدينه;O
7336;بالغابات;B-LF
7337;يطلق;O
7338;اسم;O
7339;جاردن;O
7340;سيتي;I-LOC
7341;وذلك;O
7342;لكثره;O
7343;النباتات;O
7344;والزهور;O
7345;والورود;O
7346;يعطي;O
7347;منظرا;O
7348;جميل;O
7349;وخلاب;O
7350;يتمتع;O
7351;الزائر;O
7352;للمدينه;O
7353;تتميز;O
7354;بكثره;O
7355;الجبال;B-LF
7356;المغطاه;O
7357;بالاشجار;O
7358;قلعه;O
7359;كيب;O
7360;كوست;O
7361;تعتبر;O
7362;القلعه;O
7363;اهم;O
7364;المحطات;O
7365;لهجره;O
7366;العبيد;O
7367;عندما;O
7368;الدوله;O
7369;مستعمره;O
7370;مستعمرات;O
7371;بريطانيا;B-LOC
7372;تحتوي;O
7373;الداخل;O
7374;اثار;O
7375;الجدران;O
7376;باللون;O
7377;الاخضر;O
7378;عباره;O
7379;اثار;O
7380;للسلاسل;O
7381;كانوا;O
7382;يربطون;O
7383;العبيد;O
7384;تمهيدا;O
7385;لترحيلهم;O
7386;القلعه;O
7387;الداخل;O
7388;مظلمه;O
7389;الخارج;O
7390;لونها;O
7391;ابيض;O
7392;حجر;O
7393;الجير;O
7394;تحتوي;O
7395;زنزانات;O
7396;ضيقه;O
7397;وتتميز;O
7398;بانها;O
7399;تطل;O
7400;منظر;O
7401;خلاب;O
7402;وساحر;O
7403;المحيط;B-LF
7404;الاطلسي;I-LF
7405;الحديقه;O
7406;الوطنيه;O
7407;تقع;O
7408;الحديقه;O
7409;شمال;O
7410;قلعه;O
7411;كيب;O
7412;كوست;O
7413;بحوالي;O
7414;20;O
7415;كيلومترا;O
7416;تحيط;O
7417;المزارع;O
7418;خاصه;O
7419;مزارع;O
7420;الكاكاو;O
7421;وتحتوي;O
7422;العديد;O
7423;الاشجار;O
7424;والحيوانات;O
7425;البريه;O
7426;ويوجد;O
7427;طريق;O
7428;يستخدمه;O
7429;السياح;O
7430;للتجول;O
7431;الحديقه;O
7432;بطول;O
7433;(;O
7434;350;O
7435;);O
7436;مترا;O
7437;وبارتفاع;O
7438;(;O
7439;40;O
7440;);O
7441;مترا;O
7442;د;O
7443;مدينه;O
7444;اكرا;O
7445;عاصمه;O
7446;غانا;B-LOC
7447;وتعتبر;O
7448;اكبر;O
7449;مدن;O
7450;غانا;B-LOC
7451;ومركزها;O
7452;الاداري;O
7453;والاقتصادي;O
7454;والمالي;O
7455;تقع;O
7456;معظم;O
7457;القدرات;O
7458;الصناعيه;O
7459;منطقه;O
7460;العاصمه;O
7461;تضم;O
7462;مدينه;O
7463;اكرا;O
7464;العديد;O
7465;المعالم;O
7466;المميزه;O
7467;المتحف;O
7468;الوطني;O
7469;لغانا;O
7470;واكاديميه;O
7471;غانا;B-LOC
7472;للفنون;O
7473;والعلوم;O
7474;ومبني;O
7475;الارشيف;O
7476;القومي;O
7477;لغانا;O
7478;والمكتبه;O
7479;المركزيه;O
7480;قلعه;O
7481;اوسو;O
7482;ومركز;O
7483;اكرا;O
7484;للثقافه;O
7485;الوطنيه;O
7486;تعد;O
7487;مدينه;O
7488;اكرا;B-LOC
7489;مدينه;O
7490;مذهله;O
7491;للزياره;O
7492;سواء;O
7493;بسبب;O
7494;ثقافتها;O
7495;الغنيه;O
7496;مواقعها;O
7497;السياحيه;O
7498;والتاريخيه;O
7499;الهامه;O
7500;بسبب;O
7501;الناس;O
7502;يعرفون;O
7503;بالوديه;O
7504;بالاضافه;O
7505;طعامها;O
7506;اللذيذ;O
7507;ولكي;O
7508;تنجح;O
7509;رحتلك;O
7510;اكرا;O
7511;اليك;O
7512;النصائح;O
7513;المفيده;O
7514;لجعل;O
7515;اقامتك;O
7516;اكرا;O
7517;مثيره;O
7518;وممتعه;O
7519;المغرب;B-LOC
7520;اهم;O
7521;المعالم;O
7522;السياحيه;O
7523;راجع;O
7524;الموقع;O
7525;الجغرافي;O
7526;تتمتع;O
7527;قاره;O
7528;افريقيا;B-LOC
7529;والجدير;O
7530;بالذكر;O
7531;المغرب;B-LOC
7532;تتمتع;O
7533;بالانفتاح;O
7534;البحر;B-LF
7535;الابيض;I-LF
7536;المتوسط;I-LF
7537;انها;O
7538;تستقبل;O
7539;عدد;O
7540;كبير;O
7541;السياح;O
7542;مختلف;O
7543;دول;O
7544;العالم;O
7545;فهي;O
7546;تستقبل;O
7547;قرابه;O
7548;العشره;O
7549;مليون;O
7550;سائح;O
7551;بشكل;O
7552;سنوي;O
7553;المغرب;B-LOC
7554;متميز;O
7555;بالهضاب;B-LF
7556;والجبال;B-LF
7557;وجميع;O
7558;التضاريس;O
7559;الجغرافيه;O
7560;الخلابه;O
7561;انها;O
7562;تضم;O
7563;صحاري;B-LF
7564;وبحار;B-LF
7565;كثيره;O
7566;غابات;B-LF
7567;استوائيه;I-LF
7568;متميزه;O
7569;مناخها;O
7570;فان;O
7571;سر;O
7572;تميزها;O
7573;فان;O
7574;فصل;O
7575;الصيف;O
7576;الجو;B-WH
7577;دافئ;I-WH
7578;وفصل;O
7579;الشتاء;O
7580;ممطر;B-WH
7581;ثلج;B-WH
7582;فصل;O
7583;الربيع;O
7584;معتدل;B-WH
7585;وتتفتح;O
7586;الازهار;O
7587;والخريف;O
7588;تتساقط;O
7589;اوراق;O
7590;الشجر;O
7591;كينيا;B-LOC
7592;اجمل;O
7593;مناطق;O
7594;سياحيه;O
7595;افريقيا;B-LOC
7596;اشهرها;O
7597;واهمها;O
7598;يصل;O
7599;عدد;O
7600;الوافدين;O
7601;بشكل;O
7602;سنوي;O
7603;قرابه;O
7604;النصف;O
7605;مليون;O
7606;سائح;O
7607;جميع;O
7608;انحاء;O
7609;دول;O
7610;العالم;O
7611;حتي;O
7612;تتم;O
7613;مشاهده;O
7614;المناظر;O
7615;الطبيعيه;O
7616;الخلابه;O
7617;تترك;O
7618;اثر;O
7619;نفسي;O
7620;ايجابي;O
7621;وتكون;O
7622;كينيا;B-LOC
7623;عدد;O
7624;كبير;O
7625;الحيوانات;O
7626;البريه;O
7627;الرحلات;B-AC
7628;السفاري;I-AC
7629;واحده;O
7630;النشاطات;O
7631;تشتهر;O
7632;كينيا;B-LOC
7633;وتكون;O
7634;كينيا;B-LOC
7635;موقعها;O
7636;شرق;O
7637;قاره;O
7638;افريقيا;B-LOC
7639;خط;O
7640;الاستواء;O
7641;والجدير;O
7642;بالذكر;O
7643;الكثير;O
7644;يحرص;O
7645;زياره;O
7646;بحيره;B-LF
7647;فيكتوريا;I-LF
7648;تعتبر;O
7649;واحده;O
7650;اكبر;O
7651;البحيرات;B-LF
7652;القاره;O
7653;وتضم;O
7654;اعلي;O
7655;قمه;O
7656;جبل;B-LF
7657;القاره;O
7658;جبل;B-LF
7659;كينيا;I-LF
7660;يحرص;O
7661;الكثير;O
7662;الوافدين;O
7663;زياره;O
7664;جزر;B-LF
7665;المالديف;I-LF
7666;تعتبر;O
7667;اجمل;O
7668;الجزر;O
7669;العالم;O
7670;اجمل;O
7671;مناطق;O
7672;سياحيه;O
7673;افريقيا;B-LOC
7674;انها;O
7675;تضم;O
7676;قرابه;O
7677;المائه;O
7678;منتجع;O
7679;خيار;O
7680;مثالي;O
7681;لقضاء;O
7682;اجازه;O
7683;شهر;O
7684;عسل;O
7685;ممتعه;O
7686;ومختلفه;O
7687;وبالاضافه;O
7688;مكان;O
7689;مميز;O
7690;للزيارات;O
7691;العائليه;O
7692;توافر;O
7693;عدد;O
7694;كبير;O
7695;الانشطه;O
7696;يتمكن;O
7697;الوافدين;O
7698;جزر;B-LF
7699;المالديف;I-LF
7700;ممارسه;B-AC
7701;النشاطات;I-AC
7702;المائيه;I-AC
7703;اهمها;O
7704;الغوص;B-AC
7705;تمكنهم;O
7706;مشاهده;B-AC
7707;الشعب;I-AC
7708;المرجانيه;I-AC
7709;الجذابه;O
7710;يستمتع;O
7711;السياح;O
7712;والاستجمام;O
7713;شواطئ;
7714;المالديف;O
7715;المتميزه;O
7716;تضم;O
7717;عدد;O
7718;الجزر;O
7719;الصغيره;O
7720;الرائعه;O
7721;كون;O
7722;الراس;I-LOC
7723;الاخضر;O
7724;اجمل;O
7725;مناطق;O
7726;سياحيه;O
7727;افريقيا;B-LOC
7728;ارخبيل;O
7729;واحده;O
7730;الجزر;O
7731;تقع;O
7732;غرب;O
7733;سواحل;O
7734;شمال;O
7735;افريقيا;B-LOC
7736;تقع;O
7737;مسافه;O
7738;تقل;O
7739;خمسمائه;O
7740;كيلو;O
7741;متر;O
7742;ساحل;O
7743;مدينه;O
7744;السنغال;B-LOC
7745;الافريقيه;O
7746;ويعود;O
7747;تاريخ;O
7748;اكتشاف;O
7749;الجزر;B-LF
7750;عام;O
7751;الف;O
7752;واربعمائه;O
7753;وستين;O
7754;ميلادي;O
7755;تتميز;O
7756;الجزر;B-LF
7757;بالموقع;O
7758;الجغرافي;O
7759;الممتاز;O
7760;فهي;O
7761;تطل;O
7762;المحيط;B-LF
7763;الاطلسي;I-LF
7764;عام;O
7765;الف;O
7766;وتسعمائه;O
7767;وخمسه;O
7768;وسبعين;O
7769;ميلادي;O
7770;تم;O
7771;استقلال;O
7772;الجزر;O
7773;البرتغال;B-LOC
7774;شكل;O
7775;كامل;O
7776;تضم;O
7777;مجموعه;O
7778;متنوعه;O
7779;الانشطه;O
7780;تقدم;O
7781;المتعه;O
7782;لجميع;O
7783;السائحين;O
7784;كافه;O
7785;دول;O
7786;العالم;O
7787;اهمها;O
7788;صيد;B-AC
7789;السمك;I-AC
7790;وركوب;B-AC
7791;الجيتسكي;I-AC
7792;وممارسه;B-AC
7793;رياضه;I-AC
7794;ركوب;I-AC
7795;الامواج;I-AC
7796;افريقيا;B-LOC
7797;المكان;O
7798;الوحيد;O
7799;مشاهده;O
7800;احد;O
7801;عجائب;O
7802;الدنيا;O
7803;السبع;O
7804;الهرم;O
7805;الاكبر;O
7806;الجيزه;O
7807;الهرم;O
7808;يعد;O
7809;احد;O
7810;مواقع;O
7811;التراث;O
7812;العالمي;O
7813;لليونسكو;O
7814;واحد;O
7815;اعظم;O
7816;الانجازات;O
7817;الهندسيه;O
7818;تاريخ;O
7819;البشريه;O
7820;اهم;O
7821;المباني;O
7822;الغامضه;O
7823;كوكبنا;O
7824;تم;O
7825;بناء;O
7826;الاهرام;O
7827;لغرض;O
7828;ايواء;O
7829;الفراعنه;O
7830;الموت;O
7831;وفيه;O
7832;تم;O
7833;جمع;O
7834;العناصر;O
7835;شانها;O
7836;تساعد;O
7837;الفرعون;O
7838;الحياه;O
7839;الاخره;O
